epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1515.99,1.81338,1.45817,1.78753,0.62663,0.58167,0.59291,0.26077,1.8809,1.46385,1.95685,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
31,1565.87,1.8089,1.43965,1.77155,0.64921,0.57627,0.60502,0.26227,1.87805,1.42449,1.96477,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
32,1615.46,1.7949,1.42356,1.76873,0.64042,0.61309,0.62154,0.27462,1.85469,1.40288,1.95993,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
33,1665.46,1.77144,1.39974,1.74185,0.63214,0.56692,0.59674,0.2667,1.86047,1.43691,1.97287,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
34,1715.02,1.77126,1.36806,1.75309,0.6639,0.62688,0.63602,0.27959,1.87105,1.3808,1.97213,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
35,1764.69,1.7581,1.36667,1.72091,0.63977,0.61655,0.61883,0.27508,1.81393,1.38338,1.94178,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
36,1814.11,1.72729,1.3247,1.70376,0.6633,0.61075,0.6323,0.28644,1.80366,1.36293,1.91968,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
37,1863.94,1.72263,1.30143,1.69607,0.67106,0.5914,0.62027,0.27389,1.84797,1.3684,1.95528,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
38,1913.66,1.686,1.27593,1.66901,0.65305,0.63472,0.65077,0.29755,1.79212,1.31432,1.8864,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
39,1963.37,1.68852,1.27517,1.67289,0.69991,0.62703,0.65239,0.3058,1.76612,1.29331,1.899,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
40,2012.87,1.68438,1.26507,1.66306,0.66,0.63533,0.64829,0.30161,1.77745,1.30704,1.89416,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
41,2062.92,1.6627,1.23192,1.6516,0.68525,0.65786,0.66099,0.30601,1.78658,1.27491,1.89573,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
42,2112.94,1.63824,1.20869,1.63115,0.68284,0.6216,0.64969,0.30608,1.79825,1.28431,1.92162,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
43,2162.75,1.62898,1.19292,1.63445,0.68641,0.64582,0.65731,0.31108,1.78419,1.25186,1.87934,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
44,2212.45,1.61756,1.18207,1.61114,0.66897,0.63705,0.65709,0.31885,1.75963,1.24959,1.88091,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
45,2262.37,1.57739,1.15965,1.58949,0.69749,0.64115,0.66435,0.31976,1.74128,1.22802,1.87611,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
46,2312.2,1.58319,1.16299,1.59541,0.69759,0.65751,0.67706,0.32191,1.72986,1.20705,1.85467,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
47,2361.88,1.58198,1.12809,1.59058,0.7048,0.6505,0.68326,0.33476,1.73249,1.20702,1.8548,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
48,2411.83,1.56853,1.13561,1.57887,0.72755,0.64933,0.68352,0.32825,1.73567,1.189,1.85659,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
49,2461.61,1.554,1.10622,1.56489,0.74014,0.64422,0.69973,0.35081,1.68159,1.16699,1.82662,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
50,2512.01,1.54298,1.1122,1.5641,0.72301,0.65283,0.68664,0.34058,1.68,1.17344,1.82069,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
51,2562.01,1.51005,1.07767,1.52669,0.71794,0.68877,0.70766,0.36183,1.66323,1.14386,1.80861,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
52,2611.66,1.52934,1.09751,1.55423,0.70909,0.68264,0.6882,0.34726,1.67712,1.13907,1.8165,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
53,2661.46,1.51031,1.07699,1.52304,0.68956,0.7031,0.69191,0.35859,1.64835,1.1252,1.80974,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
54,2711.2,1.49099,1.05387,1.53028,0.70212,0.68147,0.69679,0.35776,1.63256,1.14478,1.78183,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
55,2761.19,1.48138,1.0466,1.51802,0.69988,0.69141,0.70347,0.37131,1.61816,1.12212,1.78225,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
56,2811.05,1.47493,1.05069,1.51095,0.73027,0.65926,0.70303,0.36406,1.63703,1.13735,1.77226,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
57,2860.79,1.47756,1.0444,1.50542,0.72437,0.69427,0.71872,0.37001,1.63828,1.12908,1.78822,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
58,2910.45,1.4605,1.0233,1.49888,0.71023,0.71481,0.72018,0.38238,1.59058,1.08044,1.7484,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
59,2960.42,1.44773,1.01929,1.48812,0.71636,0.71596,0.71193,0.36935,1.58165,1.08703,1.7493,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
60,3010.33,1.42804,1.00781,1.47711,0.73659,0.7066,0.72232,0.37857,1.58139,1.07901,1.73878,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
61,3060.04,1.43427,1.00906,1.47438,0.73805,0.67679,0.71865,0.37399,1.60269,1.09332,1.75027,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
62,3109.99,1.40753,0.98424,1.45788,0.73959,0.7066,0.72938,0.38737,1.55216,1.05566,1.71849,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844
63,3159.85,1.41769,0.97867,1.45931,0.75229,0.68693,0.72135,0.38471,1.57081,1.07725,1.73236,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448
64,3209.66,1.40095,0.97453,1.45285,0.74046,0.69784,0.72337,0.38991,1.56776,1.05316,1.73773,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052
65,3259.47,1.38304,0.9687,1.44026,0.76191,0.70324,0.73465,0.38627,1.55328,1.03711,1.72363,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656
66,3309.45,1.3827,0.9492,1.44018,0.74426,0.7294,0.73367,0.40085,1.52967,1.03878,1.71961,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
67,3359.42,1.37346,0.94953,1.43789,0.73773,0.69707,0.71689,0.39605,1.51554,1.05666,1.69811,0.0221592,0.0073864,0.0221592,0.0073864,0.0221592,0.0073864,0.0221592,0.0073864
68,3409.3,1.36535,0.94047,1.42806,0.73668,0.72764,0.72727,0.40307,1.53824,1.02597,1.71552,0.0220404,0.0073468,0.0220404,0.0073468,0.0220404,0.0073468,0.0220404,0.0073468
69,3458.87,1.34428,0.93563,1.41103,0.71687,0.737,0.72897,0.40112,1.51981,1.03191,1.6771,0.0219216,0.0073072,0.0219216,0.0073072,0.0219216,0.0073072,0.0219216,0.0073072
70,3508.76,1.35152,0.93487,1.41451,0.75238,0.71654,0.73898,0.40877,1.52177,1.00526,1.68932,0.0218028,0.0072676,0.0218028,0.0072676,0.0218028,0.0072676,0.0218028,0.0072676
71,3558.71,1.33938,0.91518,1.40232,0.76056,0.72706,0.73718,0.40436,1.49964,1.00267,1.67355,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
72,3608.39,1.33567,0.91579,1.39926,0.73823,0.7294,0.73986,0.40994,1.49053,1.00941,1.68017,0.0215652,0.0071884,0.0215652,0.0071884,0.0215652,0.0071884,0.0215652,0.0071884
73,3658.32,1.32643,0.9193,1.39615,0.77695,0.71256,0.75296,0.41717,1.47684,1.00113,1.65227,0.0214464,0.0071488,0.0214464,0.0071488,0.0214464,0.0071488,0.0214464,0.0071488
74,3708.14,1.32919,0.92038,1.39071,0.76189,0.74109,0.75544,0.42258,1.46633,0.99856,1.64576,0.0213276,0.0071092,0.0213276,0.0071092,0.0213276,0.0071092,0.0213276,0.0071092
75,3758.08,1.32318,0.90116,1.39397,0.75628,0.73268,0.75085,0.4163,1.47603,0.99258,1.65601,0.0212088,0.0070696,0.0212088,0.0070696,0.0212088,0.0070696,0.0212088,0.0070696
76,3807.87,1.2887,0.87679,1.3637,0.77982,0.71128,0.74055,0.42788,1.45598,1.01094,1.66196,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
77,3857.66,1.29222,0.87704,1.37582,0.77178,0.71946,0.75082,0.42929,1.44667,0.97863,1.63693,0.0209712,0.0069904,0.0209712,0.0069904,0.0209712,0.0069904,0.0209712,0.0069904
78,3907.49,1.30043,0.88606,1.37803,0.76231,0.72531,0.74804,0.4275,1.44901,0.96628,1.66388,0.0208524,0.0069508,0.0208524,0.0069508,0.0208524,0.0069508,0.0208524,0.0069508
79,3957.25,1.27428,0.85839,1.35716,0.76899,0.71654,0.73634,0.42862,1.42887,0.99168,1.635,0.0207336,0.0069112,0.0207336,0.0069112,0.0207336,0.0069112,0.0207336,0.0069112
80,4007.03,1.2853,0.87374,1.36884,0.75521,0.72998,0.74465,0.42983,1.45385,0.96645,1.64778,0.0206148,0.0068716,0.0206148,0.0068716,0.0206148,0.0068716,0.0206148,0.0068716
81,4056.84,1.27302,0.86219,1.36076,0.76922,0.72823,0.75332,0.42915,1.44022,0.97065,1.6374,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
82,4106.71,1.25861,0.8575,1.34872,0.76166,0.74401,0.75533,0.43699,1.43243,0.96292,1.63386,0.0203772,0.0067924,0.0203772,0.0067924,0.0203772,0.0067924,0.0203772,0.0067924
