epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1498.35,1.11211,0.70697,1.13902,0.81878,0.75523,0.78702,0.48577,1.32759,0.86443,1.3597,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
31,1548.45,1.12953,0.70845,1.13631,0.78036,0.77452,0.78039,0.47743,1.35992,0.87324,1.40359,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
32,1598.52,1.12699,0.71548,1.14171,0.81204,0.75862,0.78388,0.48342,1.33431,0.86519,1.36448,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
33,1648.57,1.10209,0.69636,1.12449,0.82772,0.7441,0.79554,0.49763,1.31807,0.84324,1.36418,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
34,1698.4,1.11265,0.70387,1.13541,0.78379,0.79252,0.79365,0.48547,1.34123,0.83464,1.37187,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
35,1748.19,1.12256,0.71315,1.1338,0.81332,0.76973,0.78174,0.48336,1.32966,0.85936,1.37545,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
36,1797.94,1.09848,0.69299,1.12523,0.79533,0.77265,0.77681,0.48914,1.29418,0.82934,1.35669,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
37,1847.96,1.11283,0.70064,1.13827,0.80386,0.75933,0.78658,0.49358,1.30013,0.84264,1.36786,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
38,1897.81,1.08358,0.67857,1.11429,0.83665,0.75804,0.79391,0.50224,1.28195,0.83491,1.33137,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
39,1947.83,1.08139,0.68033,1.11721,0.80917,0.77791,0.78487,0.49781,1.27968,0.82826,1.33635,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
40,1997.8,1.08574,0.68677,1.11453,0.82239,0.7668,0.79057,0.4955,1.26862,0.84808,1.33579,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
41,2047.75,1.08385,0.67111,1.11435,0.82935,0.76563,0.7937,0.50178,1.26606,0.81367,1.33179,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
42,2097.58,1.07802,0.67502,1.1158,0.81817,0.76388,0.78547,0.49243,1.29009,0.85182,1.34395,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
43,2147.62,1.07974,0.67847,1.12421,0.81877,0.76447,0.78789,0.48951,1.31168,0.83833,1.37041,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
44,2197.55,1.06234,0.66732,1.10492,0.83884,0.75687,0.79089,0.49906,1.28056,0.83411,1.35248,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
45,2247.66,1.04536,0.66332,1.09418,0.82344,0.77142,0.78548,0.49641,1.26174,0.81609,1.34039,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
46,2297.5,1.05302,0.66352,1.10681,0.82333,0.75453,0.79121,0.50611,1.25629,0.83227,1.33567,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
47,2347.58,1.05479,0.65865,1.10016,0.82161,0.76797,0.79988,0.51028,1.24657,0.81847,1.3258,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
48,2397.48,1.05194,0.66898,1.10405,0.80251,0.78135,0.78899,0.51022,1.24218,0.80659,1.33619,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
49,2447.28,1.03299,0.64915,1.0937,0.81758,0.77849,0.79758,0.51483,1.23263,0.80454,1.3331,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
50,2497.23,1.05362,0.66455,1.09864,0.83449,0.75804,0.79633,0.50801,1.25674,0.8142,1.34516,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
51,2547.11,1.01983,0.64324,1.07893,0.83157,0.77621,0.80723,0.52278,1.22886,0.81171,1.31018,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
52,2597.19,1.04662,0.65673,1.09636,0.82285,0.77101,0.80084,0.5179,1.23815,0.80749,1.32558,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
53,2647.27,1.04124,0.65691,1.08991,0.84013,0.75511,0.79173,0.51922,1.21298,0.80088,1.3118,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
54,2697.29,1.02878,0.63538,1.08781,0.82441,0.77382,0.79449,0.51414,1.21934,0.8126,1.32204,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
55,2747.16,1.0229,0.63821,1.09027,0.8163,0.78434,0.80288,0.52546,1.22637,0.80803,1.31959,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
56,2797.24,1.02045,0.64443,1.08607,0.83217,0.76563,0.80165,0.52383,1.19871,0.78169,1.30319,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
57,2847.53,1.01727,0.64104,1.08071,0.85492,0.76112,0.80132,0.52248,1.20286,0.80081,1.2931,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
58,2898.68,1.01861,0.63949,1.07929,0.81701,0.79847,0.80001,0.52847,1.18487,0.79164,1.2881,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
59,2950.32,1.01099,0.63908,1.08146,0.82318,0.79178,0.81213,0.53524,1.20043,0.77638,1.31689,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
60,3001.68,0.99443,0.62686,1.06987,0.82654,0.7714,0.79536,0.52906,1.18945,0.79548,1.30149,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
61,3052.8,1.00506,0.6413,1.08174,0.83889,0.78317,0.80108,0.52821,1.18402,0.77495,1.30035,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
62,3103.61,0.99484,0.63076,1.07677,0.83878,0.77236,0.80579,0.53477,1.18572,0.77508,1.30509,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844
63,3154.21,1.00055,0.62207,1.0701,0.83403,0.78258,0.81206,0.536,1.19175,0.77099,1.29063,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448
