image,gt_count,exp8_count,exp10_count,delta_exp10_minus_exp8,delta_exp8_minus_gt,delta_exp10_minus_gt,score
test_0029_107,3,0,4,4,-3,1,6.300
test_0219_caries_0_4001,5,1,3,2,-4,-2,4.400
test_0278_caries_0_4001,5,1,3,2,-4,-2,4.400
test_0003_161,2,0,1,1,-2,-1,2.200
test_0105_caries_0_3381,3,1,2,1,-2,-1,2.200
test_0198_583,1,0,1,1,-1,0,2.100
test_0286_caries_0_4194,1,0,1,1,-1,0,2.100
test_0344_298,1,0,1,1,-1,0,2.100
test_0069_279,2,1,2,1,-1,0,2.100
