epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2126.9,0.93248,0.60707,1.03504,0.84144,0.782,0.80159,0.5483,1.12191,0.77519,1.26898,0.0015941,0.0015941,0.0015941
43,2177.4,0.93782,0.61243,1.03831,0.81821,0.78915,0.799,0.53852,1.12375,0.75785,1.28343,0.0015842,0.0015842,0.0015842
44,2227.95,0.92569,0.59685,1.02904,0.83915,0.76532,0.79428,0.53424,1.13193,0.77495,1.27332,0.0015743,0.0015743,0.0015743
45,2278.56,0.91508,0.59667,1.0254,0.84115,0.76388,0.79911,0.54791,1.12149,0.75686,1.27479,0.0015644,0.0015644,0.0015644
46,2329.14,0.91945,0.59825,1.02942,0.83495,0.77148,0.7994,0.56182,1.12172,0.76968,1.26863,0.0015545,0.0015545,0.0015545
47,2379.66,0.91374,0.58784,1.01911,0.82183,0.78434,0.79683,0.54808,1.10332,0.77075,1.26431,0.0015446,0.0015446,0.0015446
48,2430.16,0.90976,0.59631,1.02369,0.83456,0.77246,0.79827,0.55056,1.10098,0.77726,1.26764,0.0015347,0.0015347,0.0015347
49,2480.73,0.89566,0.58122,1.02124,0.81741,0.76924,0.79637,0.5533,1.08167,0.77809,1.25651,0.0015248,0.0015248,0.0015248
50,2531.21,0.91513,0.5999,1.02559,0.85255,0.75696,0.81023,0.56561,1.08772,0.74624,1.26874,0.0015149,0.0015149,0.0015149
51,2581.65,0.8857,0.57765,1.0078,0.84635,0.76945,0.80183,0.565,1.06949,0.76041,1.23136,0.001505,0.001505,0.001505
52,2632.16,0.91027,0.58922,1.02418,0.84235,0.77761,0.81477,0.57319,1.06858,0.73663,1.24384,0.0014951,0.0014951,0.0014951
53,2682.67,0.91139,0.59132,1.02356,0.84412,0.75956,0.79928,0.57064,1.05479,0.75798,1.22545,0.0014852,0.0014852,0.0014852
54,2733.18,0.88519,0.56859,1.01215,0.8282,0.78326,0.79432,0.55258,1.07809,0.78198,1.25608,0.0014753,0.0014753,0.0014753
55,2783.73,0.88426,0.57497,1.01424,0.85174,0.7689,0.80653,0.56703,1.0693,0.73898,1.25568,0.0014654,0.0014654,0.0014654
56,2834.22,0.87218,0.57474,1.00644,0.84058,0.77657,0.80426,0.56643,1.05616,0.75693,1.24785,0.0014555,0.0014555,0.0014555
57,2884.68,0.87714,0.57088,1.0073,0.84087,0.76903,0.80845,0.57072,1.0652,0.74801,1.25679,0.0014456,0.0014456,0.0014456
58,2935.12,0.87195,0.56782,1.00329,0.82042,0.79544,0.79783,0.56155,1.06621,0.75125,1.24795,0.0014357,0.0014357,0.0014357
59,2985.64,0.87392,0.56959,1.01108,0.82979,0.78901,0.80626,0.57176,1.03776,0.74315,1.23589,0.0014258,0.0014258,0.0014258
60,3036.1,0.85462,0.55558,0.99951,0.84099,0.77276,0.80532,0.57609,1.04205,0.71351,1.23539,0.0014159,0.0014159,0.0014159
61,3086.86,0.86664,0.56863,1.0053,0.83589,0.7896,0.81054,0.57141,1.04236,0.72081,1.22052,0.001406,0.001406,0.001406
62,3137.4,0.85188,0.5598,1.00188,0.84064,0.77966,0.80868,0.57014,1.04756,0.72356,1.24482,0.0013961,0.0013961,0.0013961
63,3187.98,0.8539,0.54789,0.99523,0.84327,0.7736,0.80995,0.58406,1.02364,0.73313,1.21829,0.0013862,0.0013862,0.0013862
64,3238.54,0.84694,0.55205,0.99519,0.85347,0.77616,0.81237,0.58069,1.04035,0.71769,1.23622,0.0013763,0.0013763,0.0013763
65,3289.1,0.83908,0.54259,0.99219,0.84496,0.76762,0.81017,0.57978,1.03204,0.72763,1.23331,0.0013664,0.0013664,0.0013664
66,3339.63,0.83319,0.54673,0.98645,0.85615,0.76739,0.80448,0.57818,1.01525,0.71148,1.23225,0.0013565,0.0013565,0.0013565
67,3390.11,0.82825,0.54203,0.98951,0.84265,0.76996,0.81118,0.59653,1.01487,0.71542,1.21576,0.0013466,0.0013466,0.0013466
68,3440.8,0.83143,0.54102,0.9911,0.84839,0.77791,0.81256,0.59704,1.01545,0.71001,1.2284,0.0013367,0.0013367,0.0013367
69,3491.38,0.83312,0.5468,0.99289,0.84929,0.76797,0.81543,0.59249,1.00831,0.7018,1.23287,0.0013268,0.0013268,0.0013268
70,3541.86,0.82455,0.53928,0.98703,0.84172,0.77791,0.80135,0.58216,0.99908,0.7128,1.22748,0.0013169,0.0013169,0.0013169
71,3592.4,0.82896,0.54214,0.98666,0.83381,0.78375,0.80975,0.58572,0.99469,0.70751,1.23367,0.001307,0.001307,0.001307
72,3642.86,0.82267,0.54276,0.98689,0.83438,0.78619,0.80821,0.59586,1.00498,0.71108,1.21821,0.0012971,0.0012971,0.0012971
73,3693.4,0.81678,0.53092,0.98069,0.85568,0.76583,0.81277,0.59369,0.99907,0.73355,1.21567,0.0012872,0.0012872,0.0012872
74,3743.9,0.82283,0.54137,0.98594,0.82957,0.78025,0.80221,0.58477,0.98451,0.72031,1.21911,0.0012773,0.0012773,0.0012773
75,3794.46,0.81613,0.53228,0.98228,0.8367,0.79056,0.81951,0.6036,0.97854,0.69201,1.21246,0.0012674,0.0012674,0.0012674
76,3845.03,0.79935,0.52443,0.97071,0.84223,0.77999,0.82087,0.59857,0.98129,0.68455,1.21416,0.0012575,0.0012575,0.0012575
77,3895.49,0.80831,0.52367,0.98123,0.83616,0.77551,0.81246,0.60116,0.97727,0.70684,1.21494,0.0012476,0.0012476,0.0012476
78,3946.03,0.8099,0.52864,0.98079,0.84784,0.78083,0.81666,0.59377,0.99237,0.70824,1.2297,0.0012377,0.0012377,0.0012377
79,3996.64,0.80173,0.52328,0.97184,0.84711,0.76914,0.81154,0.6035,0.9599,0.72225,1.21306,0.0012278,0.0012278,0.0012278
80,4047.11,0.79915,0.52639,0.97671,0.83835,0.79112,0.81054,0.59257,0.97898,0.71106,1.22525,0.0012179,0.0012179,0.0012179
81,4097.6,0.79859,0.51715,0.97621,0.8526,0.77557,0.80872,0.59642,0.953,0.69743,1.21013,0.001208,0.001208,0.001208
82,4148.11,0.79539,0.52099,0.97874,0.85601,0.76622,0.81638,0.60348,0.96671,0.70112,1.22348,0.0011981,0.0011981,0.0011981
83,4198.73,0.7891,0.52343,0.97055,0.85971,0.78076,0.81059,0.60273,0.96465,0.6769,1.22222,0.0011882,0.0011882,0.0011882
84,4249.27,0.78638,0.51128,0.96918,0.8391,0.78551,0.80394,0.59415,0.97104,0.69503,1.22296,0.0011783,0.0011783,0.0011783
85,4299.8,0.79057,0.51614,0.97214,0.85674,0.782,0.8154,0.6037,0.94854,0.67712,1.19424,0.0011684,0.0011684,0.0011684
86,4350.38,0.77341,0.51329,0.9629,0.84865,0.7767,0.8081,0.60231,0.94468,0.67703,1.20525,0.0011585,0.0011585,0.0011585
87,4401,0.78569,0.51076,0.96905,0.85396,0.77674,0.81164,0.59453,0.96192,0.6853,1.20956,0.0011486,0.0011486,0.0011486
88,4451.54,0.77397,0.50783,0.96512,0.84419,0.7896,0.81927,0.6106,0.95149,0.68185,1.21614,0.0011387,0.0011387,0.0011387
89,4502.1,0.76872,0.50504,0.96653,0.86052,0.78083,0.81316,0.60944,0.94859,0.69164,1.21004,0.0011288,0.0011288,0.0011288
90,4552.63,0.78119,0.51714,0.96983,0.85805,0.77721,0.81305,0.6102,0.94053,0.67688,1.21074,0.0011189,0.0011189,0.0011189
91,4603.2,0.77545,0.51784,0.96218,0.84797,0.78565,0.81814,0.61271,0.9297,0.67706,1.20008,0.001109,0.001109,0.001109
92,4653.77,0.77309,0.51126,0.96568,0.85347,0.79135,0.82538,0.60842,0.93599,0.67523,1.22354,0.0010991,0.0010991,0.0010991
93,4704.19,0.7578,0.4991,0.95521,0.85145,0.77384,0.81315,0.6115,0.92009,0.6738,1.19555,0.0010892,0.0010892,0.0010892
94,4754.57,0.7484,0.49583,0.9568,0.85796,0.7896,0.82103,0.6121,0.92788,0.66502,1.20748,0.0010793,0.0010793,0.0010793
95,4804.97,0.75526,0.50037,0.95868,0.85614,0.77912,0.82303,0.61481,0.93258,0.67235,1.21771,0.0010694,0.0010694,0.0010694
96,4855.46,0.75962,0.50862,0.95775,0.8598,0.77778,0.81919,0.62277,0.91789,0.67298,1.1915,0.0010595,0.0010595,0.0010595
97,4906,0.74722,0.49624,0.95449,0.86114,0.77732,0.81407,0.61734,0.92473,0.67174,1.2094,0.0010496,0.0010496,0.0010496
98,4956.44,0.75672,0.49737,0.96052,0.83634,0.78846,0.814,0.6152,0.91061,0.67165,1.19456,0.0010397,0.0010397,0.0010397
99,5006.94,0.75211,0.4933,0.95526,0.84621,0.78784,0.82328,0.62232,0.90556,0.65714,1.19653,0.0010298,0.0010298,0.0010298
100,5057.37,0.74246,0.49077,0.9539,0.85401,0.78293,0.81637,0.61883,0.90675,0.65739,1.20257,0.0010199,0.0010199,0.0010199
101,5107.83,0.73692,0.49193,0.95377,0.83992,0.78811,0.80964,0.61559,0.90488,0.65684,1.20001,0.00101,0.00101,0.00101
102,5158.35,0.73403,0.48479,0.95199,0.84828,0.77966,0.81113,0.61839,0.90671,0.65365,1.20147,0.0010001,0.0010001,0.0010001
103,5208.89,0.7376,0.48103,0.94918,0.84342,0.78726,0.81271,0.61603,0.90115,0.65586,1.18675,0.0009902,0.0009902,0.0009902
104,5259.43,0.72882,0.48604,0.94408,0.84765,0.78367,0.81921,0.62483,0.89721,0.66496,1.1767,0.0009803,0.0009803,0.0009803
105,5310.06,0.74609,0.48437,0.95166,0.85588,0.77148,0.81209,0.61895,0.90368,0.6738,1.20373,0.0009704,0.0009704,0.0009704
106,5360.63,0.73107,0.48246,0.94929,0.85401,0.78434,0.81796,0.62539,0.89331,0.65555,1.1994,0.0009605,0.0009605,0.0009605
107,5411.18,0.72031,0.47879,0.93839,0.85265,0.78797,0.81706,0.62495,0.89394,0.66946,1.19895,0.0009506,0.0009506,0.0009506
108,5461.64,0.72451,0.47838,0.94297,0.85972,0.78025,0.81367,0.62452,0.89426,0.68779,1.19,0.0009407,0.0009407,0.0009407
109,5512.14,0.72668,0.47561,0.94919,0.84402,0.79427,0.81751,0.6222,0.89669,0.67747,1.20012,0.0009308,0.0009308,0.0009308
110,5562.65,0.70783,0.4715,0.94104,0.84489,0.77994,0.81457,0.62332,0.89304,0.67014,1.19704,0.0009209,0.0009209,0.0009209
111,5613.21,0.7119,0.47676,0.94188,0.85306,0.78551,0.82543,0.63146,0.89372,0.64811,1.20431,0.000911,0.000911,0.000911
112,5663.66,0.71722,0.47931,0.94559,0.8542,0.78412,0.82036,0.62449,0.87901,0.65278,1.1859,0.0009011,0.0009011,0.0009011
113,5714.07,0.71742,0.47531,0.94532,0.86452,0.77615,0.82178,0.63336,0.86832,0.64774,1.19202,0.0008912,0.0008912,0.0008912
114,5764.53,0.71187,0.47585,0.94796,0.85152,0.77791,0.8164,0.63192,0.8811,0.66863,1.19572,0.0008813,0.0008813,0.0008813
115,5814.99,0.70887,0.47208,0.93995,0.85306,0.77699,0.8139,0.62769,0.88021,0.65417,1.19519,0.0008714,0.0008714,0.0008714
116,5865.43,0.70385,0.47595,0.94401,0.86257,0.77403,0.81962,0.63193,0.88531,0.63557,1.20946,0.0008615,0.0008615,0.0008615
117,5915.83,0.6965,0.47015,0.93722,0.8547,0.7804,0.82044,0.63404,0.87581,0.64313,1.17949,0.0008516,0.0008516,0.0008516
118,5966.26,0.70214,0.46521,0.93755,0.85856,0.78901,0.82294,0.63356,0.88125,0.6451,1.19837,0.0008417,0.0008417,0.0008417
119,6016.64,0.69764,0.46882,0.93777,0.85353,0.79603,0.82746,0.63787,0.86431,0.65361,1.18114,0.0008318,0.0008318,0.0008318
120,6067.28,0.6897,0.46168,0.93027,0.83883,0.79603,0.82118,0.63171,0.86983,0.64246,1.19342,0.0008219,0.0008219,0.0008219
121,6117.78,0.69681,0.46768,0.93438,0.86357,0.77499,0.81717,0.6386,0.85508,0.64307,1.173,0.000812,0.000812,0.000812
122,6168.34,0.6843,0.4495,0.92855,0.88017,0.75982,0.81989,0.64091,0.84971,0.6447,1.17452,0.0008021,0.0008021,0.0008021
123,6218.83,0.70224,0.46394,0.93355,0.86409,0.78778,0.8235,0.64524,0.85752,0.64971,1.18505,0.0007922,0.0007922,0.0007922
124,6269.35,0.68841,0.45561,0.93524,0.86622,0.77581,0.82356,0.64489,0.85666,0.65698,1.18261,0.0007823,0.0007823,0.0007823
125,6319.78,0.67941,0.45511,0.92896,0.85889,0.78083,0.82229,0.64487,0.84891,0.64357,1.18471,0.0007724,0.0007724,0.0007724
126,6370.27,0.67536,0.45535,0.93125,0.85642,0.77739,0.81573,0.64094,0.86294,0.64385,1.19718,0.0007625,0.0007625,0.0007625
127,6420.84,0.67687,0.45339,0.92316,0.85162,0.78726,0.81884,0.641,0.86184,0.63343,1.19812,0.0007526,0.0007526,0.0007526
128,6471.4,0.68357,0.45393,0.93348,0.86677,0.78141,0.81916,0.63918,0.85854,0.62355,1.20013,0.0007427,0.0007427,0.0007427
129,6521.95,0.67128,0.4506,0.93222,0.86087,0.78083,0.81912,0.64685,0.84008,0.62599,1.17604,0.0007328,0.0007328,0.0007328
