epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1644.45,1.42648,0.95904,1.29872,0.71976,0.67855,0.70273,0.35966,1.63783,1.10136,1.50913,0.0011882,0.0011882,0.0011882
43,1683.72,1.42598,0.95731,1.30012,0.72454,0.72253,0.72632,0.37753,1.59829,1.03795,1.48222,0.0011684,0.0011684,0.0011684
44,1722.69,1.41538,0.9395,1.29364,0.74672,0.70076,0.73073,0.38424,1.58336,1.02123,1.47662,0.0011486,0.0011486,0.0011486
45,1761.46,1.40073,0.94152,1.27254,0.75064,0.70373,0.72637,0.37278,1.59806,1.03858,1.47907,0.0011288,0.0011288,0.0011288
46,1800.2,1.41051,0.93509,1.28883,0.71904,0.71128,0.71774,0.38473,1.58656,1.03904,1.48892,0.001109,0.001109,0.001109
47,1838.93,1.39926,0.9139,1.27789,0.75418,0.72355,0.73427,0.39189,1.55524,1.03858,1.46917,0.0010892,0.0010892,0.0010892
48,1877.87,1.40952,0.9365,1.28651,0.75304,0.73961,0.73607,0.39146,1.54699,0.99923,1.45684,0.0010694,0.0010694,0.0010694
49,1916.74,1.39306,0.9089,1.27502,0.72499,0.73185,0.72838,0.38989,1.55876,1.00476,1.44897,0.0010496,0.0010496,0.0010496
50,1955.86,1.38783,0.91711,1.2727,0.75761,0.70695,0.73844,0.39392,1.55629,1.02922,1.46188,0.0010298,0.0010298,0.0010298
51,1994.87,1.35025,0.89549,1.24242,0.76708,0.69608,0.73897,0.39326,1.57165,1.02081,1.47419,0.00101,0.00101,0.00101
52,2033.84,1.38588,0.91015,1.27296,0.76979,0.71537,0.74643,0.40344,1.53748,0.99619,1.4449,0.0009902,0.0009902,0.0009902
53,2072.93,1.37148,0.909,1.25348,0.76552,0.72238,0.74668,0.40658,1.52705,0.99998,1.46241,0.0009704,0.0009704,0.0009704
54,2112.04,1.35011,0.88394,1.25364,0.75483,0.74167,0.7603,0.41204,1.52314,0.98525,1.43651,0.0009506,0.0009506,0.0009506
55,2151.21,1.34446,0.87747,1.25223,0.75938,0.73875,0.76146,0.41586,1.50436,0.96171,1.41875,0.0009308,0.0009308,0.0009308
56,2190.2,1.33098,0.87211,1.23745,0.75773,0.7294,0.75041,0.41766,1.48571,0.96547,1.41593,0.000911,0.000911,0.000911
57,2229.03,1.3383,0.87003,1.23759,0.78112,0.73,0.76055,0.41969,1.49657,0.98194,1.42312,0.0008912,0.0008912,0.0008912
58,2268.04,1.33082,0.8737,1.2383,0.74179,0.74212,0.74515,0.40786,1.511,0.99358,1.44724,0.0008714,0.0008714,0.0008714
59,2306.77,1.30729,0.85642,1.22942,0.77539,0.75161,0.76259,0.4222,1.50572,0.95488,1.43142,0.0008516,0.0008516,0.0008516
60,2345.64,1.30734,0.85394,1.22416,0.78098,0.71691,0.75362,0.4206,1.50388,0.97924,1.4301,0.0008318,0.0008318,0.0008318
61,2384.56,1.30075,0.84482,1.22499,0.77954,0.73777,0.77455,0.42941,1.4775,0.93248,1.42748,0.000812,0.000812,0.000812
62,2423.23,1.28252,0.82728,1.21931,0.78825,0.73972,0.76789,0.42882,1.45995,0.9455,1.42668,0.0007922,0.0007922,0.0007922
63,2462.08,1.30418,0.83807,1.22117,0.77629,0.73933,0.75921,0.42814,1.45303,0.92199,1.41034,0.0007724,0.0007724,0.0007724
64,2500.87,1.27216,0.82166,1.20821,0.78746,0.73992,0.77395,0.43882,1.43644,0.91449,1.39897,0.0007526,0.0007526,0.0007526
