epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1656.84,1.84071,1.47491,1.80975,0.60597,0.56535,0.58505,0.25509,1.92405,1.48359,1.99949,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
31,1711.43,1.82387,1.43744,1.78252,0.6536,0.57784,0.60752,0.26588,1.88987,1.41604,1.96822,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
32,1766.02,1.80814,1.41652,1.77903,0.66252,0.57919,0.62546,0.28116,1.85667,1.38405,1.9533,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
33,1820.86,1.80446,1.407,1.76358,0.66345,0.57032,0.61615,0.27609,1.85629,1.41457,1.96236,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
34,1875.24,1.78441,1.37786,1.76188,0.65656,0.61118,0.6293,0.28185,1.86709,1.36654,1.96469,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
35,1929.86,1.76818,1.36337,1.73955,0.64781,0.58153,0.60311,0.27311,1.87024,1.38594,1.97608,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
36,1984.36,1.75285,1.33708,1.7255,0.64546,0.62478,0.61801,0.28243,1.8287,1.36654,1.95429,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
37,2039.33,1.73681,1.3124,1.71329,0.6419,0.64326,0.6503,0.30748,1.78716,1.28639,1.90071,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
38,2093.84,1.69639,1.27633,1.68511,0.65827,0.62146,0.65204,0.29968,1.80788,1.32897,1.9239,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
39,2148.38,1.7099,1.27268,1.69742,0.70783,0.63179,0.6758,0.30798,1.81633,1.25609,1.94829,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
40,2202.88,1.70419,1.26379,1.68464,0.6978,0.63647,0.67014,0.31081,1.7989,1.22887,1.9309,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
41,2257.57,1.68007,1.21692,1.66825,0.6892,0.63179,0.65395,0.30624,1.78318,1.28249,1.88802,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
42,2311.96,1.66188,1.21141,1.65874,0.67495,0.64173,0.6685,0.31637,1.75941,1.26447,1.90687,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
43,2366.64,1.65302,1.18536,1.65971,0.68089,0.63998,0.65726,0.30731,1.777,1.24247,1.89131,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
44,2421.05,1.6479,1.1883,1.64201,0.69298,0.63881,0.67783,0.33173,1.76294,1.20925,1.89248,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
45,2475.76,1.59979,1.14748,1.61431,0.68852,0.66102,0.67079,0.32654,1.77337,1.20699,1.90326,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
46,2530.28,1.61131,1.16234,1.62625,0.69236,0.65111,0.67608,0.32798,1.75167,1.20574,1.88514,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
47,2584.94,1.61237,1.12891,1.61913,0.70568,0.6502,0.67128,0.32511,1.74445,1.19498,1.85048,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
48,2639.49,1.60401,1.13814,1.60899,0.70347,0.65225,0.68405,0.33612,1.7389,1.18454,1.87242,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
49,2694.29,1.58057,1.10035,1.59527,0.69242,0.67797,0.69687,0.3467,1.70425,1.14702,1.85672,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
50,2749.03,1.57228,1.11707,1.5887,0.68295,0.69959,0.70039,0.35402,1.68422,1.11232,1.83876,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
51,2803.67,1.53045,1.07902,1.55538,0.70006,0.65517,0.68934,0.35182,1.66413,1.15364,1.82586,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
52,2857.96,1.55717,1.09091,1.58956,0.72535,0.67452,0.69509,0.34955,1.6921,1.13782,1.84801,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
53,2912.57,1.53919,1.07906,1.55065,0.74396,0.66861,0.69615,0.36154,1.66059,1.12977,1.83316,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
