epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1566.2,1.85567,1.53271,1.79654,0.59146,0.58738,0.59229,0.25363,1.91008,1.5134,1.95542,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
31,1615.35,1.84798,1.5077,1.78049,0.60899,0.57101,0.57855,0.24887,1.94054,1.51054,2.00471,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
32,1664.32,1.83596,1.49824,1.77908,0.60243,0.57919,0.58173,0.24827,1.88045,1.48891,1.94331,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
33,1713.49,1.82116,1.47187,1.75836,0.57041,0.59614,0.57599,0.24258,1.91391,1.49398,1.99133,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
34,1762.68,1.82633,1.44236,1.77073,0.63213,0.60549,0.62735,0.2682,1.88043,1.44241,1.95259,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
35,1811.84,1.7894,1.43226,1.72969,0.64936,0.58338,0.60105,0.26442,1.85502,1.43323,1.95759,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
36,1860.91,1.78044,1.39617,1.72261,0.64407,0.61543,0.61534,0.27872,1.84103,1.39088,1.92412,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
37,1910.18,1.76229,1.38167,1.71133,0.63739,0.60199,0.61186,0.26929,1.83924,1.40584,1.92099,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
38,1959.29,1.71878,1.34276,1.67463,0.66372,0.60793,0.62354,0.28572,1.82279,1.39435,1.8993,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
39,2008.56,1.73155,1.35166,1.68866,0.67801,0.62186,0.65492,0.30554,1.77963,1.32165,1.87329,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
40,2057.61,1.72468,1.32595,1.66992,0.69341,0.60316,0.64515,0.28898,1.81337,1.33279,1.90197,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
41,2106.82,1.70672,1.28951,1.65894,0.68305,0.62069,0.6568,0.30539,1.7699,1.29714,1.86228,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
42,2155.91,1.68093,1.27811,1.65263,0.68446,0.62653,0.65349,0.30163,1.78081,1.32179,1.88914,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
