epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,3454.83,1.59103,1.11926,1.40423,0.68847,0.65693,0.67107,0.32526,1.74573,1.18909,1.55875,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
31,3599.26,1.57821,1.10154,1.38935,0.693,0.67416,0.66498,0.32262,1.733,1.16684,1.56623,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
32,3743.04,1.56726,1.08669,1.38559,0.68412,0.6886,0.67787,0.33076,1.73358,1.15891,1.54539,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
33,3887.61,1.55134,1.06659,1.38115,0.69299,0.66623,0.68631,0.3428,1.70921,1.17061,1.54167,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
34,4031.51,1.53661,1.05631,1.36589,0.72447,0.69842,0.71823,0.35976,1.67688,1.09486,1.51727,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
35,4176.43,1.52728,1.05551,1.35553,0.71349,0.68264,0.6918,0.34615,1.68885,1.12995,1.5373,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
36,4321.03,1.50627,1.022,1.34322,0.70942,0.6906,0.69894,0.3535,1.63758,1.12099,1.4982,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
37,4464.87,1.50698,1.0192,1.34467,0.72234,0.68615,0.70389,0.35965,1.64573,1.10725,1.50326,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
38,4609.4,1.46598,0.99417,1.3118,0.72551,0.67972,0.7059,0.36126,1.63907,1.09206,1.4895,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
39,4753.54,1.46173,0.98686,1.31087,0.74311,0.69433,0.71575,0.37053,1.62376,1.05249,1.48559,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
40,4897.3,1.45374,0.98161,1.30437,0.72752,0.70251,0.71907,0.37565,1.61765,1.05527,1.45782,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
41,5041.06,1.44259,0.95272,1.29662,0.73724,0.72414,0.72646,0.37767,1.60912,1.0376,1.47417,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
42,5184.61,1.41048,0.94194,1.28343,0.74556,0.70044,0.72329,0.38039,1.5924,1.03593,1.47315,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
43,5329.14,1.41011,0.92899,1.28281,0.73807,0.70602,0.72597,0.3811,1.57779,1.01691,1.44445,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
44,5472.97,1.40588,0.9278,1.27969,0.74061,0.70076,0.71354,0.37624,1.59632,1.04955,1.46081,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
45,5616.88,1.36323,0.90761,1.24562,0.74223,0.71596,0.73329,0.38899,1.57568,1.02213,1.45202,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
46,5760.64,1.37798,0.91045,1.26595,0.73897,0.71641,0.73507,0.38986,1.57295,1.02887,1.44965,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
47,5904.76,1.38115,0.89435,1.25604,0.74215,0.7284,0.74439,0.39635,1.56846,0.99306,1.44055,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
48,6049.17,1.36384,0.90546,1.24729,0.7661,0.72998,0.74344,0.39494,1.5496,0.97494,1.43992,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
49,6193.9,1.33554,0.86661,1.23287,0.74268,0.74109,0.7509,0.41318,1.52124,0.96726,1.4199,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
50,6337.64,1.33498,0.8721,1.22872,0.72469,0.74167,0.73401,0.40284,1.52913,0.97396,1.40791,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
51,6481.83,1.30942,0.85239,1.20525,0.74623,0.74418,0.75007,0.41954,1.49898,0.96847,1.40082,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
52,6625.01,1.32328,0.86706,1.22167,0.75051,0.73844,0.74253,0.41126,1.51043,0.96587,1.41122,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
53,6769.39,1.31138,0.86397,1.21087,0.7761,0.7273,0.74157,0.41649,1.47848,0.96711,1.3932,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
54,6913.27,1.29334,0.8354,1.20548,0.75031,0.73524,0.74562,0.4223,1.47879,0.99333,1.38676,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
55,7057.61,1.28391,0.81637,1.19922,0.73973,0.76037,0.75349,0.42055,1.50144,0.96576,1.41307,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
56,7201.95,1.26871,0.83401,1.19716,0.76753,0.75745,0.77419,0.42662,1.48136,0.94215,1.3999,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
57,7346.15,1.27778,0.83389,1.19543,0.75335,0.74617,0.7628,0.43706,1.4467,0.94626,1.3708,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
58,7489.44,1.26628,0.81581,1.1854,0.75642,0.73641,0.74905,0.43856,1.4424,0.94404,1.37556,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
59,7634.27,1.2474,0.80913,1.18058,0.78695,0.74284,0.757,0.43197,1.44498,0.92409,1.38315,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
60,7778.66,1.24323,0.80088,1.17678,0.7585,0.75745,0.76169,0.44473,1.4327,0.92979,1.36922,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
61,7922.37,1.23305,0.79965,1.17052,0.79146,0.74532,0.77436,0.44966,1.42077,0.90852,1.35774,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
62,8066.75,1.21157,0.7847,1.1612,0.79317,0.75082,0.76953,0.45338,1.40595,0.89461,1.36386,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844
63,8212.1,1.2224,0.78052,1.1584,0.79693,0.74927,0.77511,0.45207,1.39834,0.90913,1.34386,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448
64,8357.4,1.20296,0.77702,1.14765,0.80507,0.75395,0.77414,0.45458,1.39285,0.89149,1.33595,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052
65,8504.61,1.19722,0.76668,1.14127,0.79941,0.75395,0.7775,0.44937,1.39553,0.88748,1.34594,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656
66,8651.12,1.18194,0.75933,1.13346,0.79918,0.7633,0.78827,0.45938,1.38457,0.86322,1.34452,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
67,8796.53,1.19129,0.76167,1.14565,0.79429,0.76739,0.7775,0.46886,1.35906,0.87844,1.32672,0.0221592,0.0073864,0.0221592,0.0073864,0.0221592,0.0073864,0.0221592,0.0073864
68,8940.88,1.17623,0.7509,1.1365,0.80268,0.76318,0.77328,0.46352,1.36036,0.8686,1.32262,0.0220404,0.0073468,0.0220404,0.0073468,0.0220404,0.0073468,0.0220404,0.0073468
